iter	Logloss
0	0.675937216
1	0.6587993575
2	0.6424137115
3	0.6266704444
4	0.6116147718
5	0.5965938454
6	0.5824568894
7	0.568400508
8	0.5568687239
9	0.5436746249
10	0.5312019209
11	0.5185658458
12	0.5066289089
13	0.4948271433
14	0.4836185903
15	0.4727081508
16	0.4612453857
17	0.4514418413
18	0.4419106127
19	0.4329336546
20	0.4248834264
21	0.4160240528
22	0.407798894
23	0.4001834041
24	0.3917768092
25	0.3838709471
26	0.3765324626
27	0.3705270937
28	0.3648253933
29	0.3578292187
30	0.3509883856
31	0.3450786289
32	0.3385339379
33	0.3329009053
34	0.3271485601
35	0.3213835139
36	0.3158997827
37	0.3104093273
38	0.3060002639
39	0.3011275352
40	0.2960183782
41	0.2911040094
42	0.2870326087
43	0.2824334772
44	0.2787822728
45	0.2752827827
46	0.2711520354
47	0.2677728246
48	0.2638702589
49	0.260037554
50	0.2568688203
51	0.2534713121
52	0.2506515944
53	0.2476325872
54	0.2441036668
55	0.2412607407
56	0.2383499866
57	0.2352719253
58	0.2328839478
59	0.2306320745
60	0.2278236434
61	0.225116515
62	0.2224537086
63	0.2203166795
64	0.2178956152
65	0.2152774062
66	0.2134710869
67	0.2117140418
68	0.2094679802
69	0.2073265051
70	0.2052824402
71	0.2033180606
72	0.2018107615
73	0.2000908046
74	0.1984892937
75	0.1965143455
76	0.1946922411
77	0.1932237086
78	0.1914451537
79	0.1900706353
80	0.1883691913
81	0.1867611178
82	0.1855060019
83	0.1841245495
84	0.1826268194
85	0.1815216651
86	0.1804156308
87	0.1792582495
88	0.1779694393
89	0.1768094929
90	0.1755520098
91	0.1747092977
92	0.173449417
93	0.1722332372
94	0.1711322581
95	0.1703141005
96	0.1694803882
97	0.1686378803
98	0.1677169759
99	0.1670465702
100	0.1663044964
101	0.1656003714
102	0.1646920732
103	0.1636226482
104	0.1627597665
105	0.1621860951
106	0.1615310709
107	0.1609153934
108	0.160166629
109	0.1595778748
110	0.1586237432
111	0.157935407
112	0.157219389
113	0.1566415354
114	0.1559898722
115	0.1554993497
116	0.1549758745
117	0.1544025664
118	0.1536775963
119	0.1532455053
120	0.1528154018
121	0.1522401076
122	0.1516773534
123	0.151168757
124	0.1507706689
125	0.1500552507
126	0.1494163349
127	0.1489557321
128	0.1484024205
129	0.1477940419
130	0.1473714353
131	0.1468991672
132	0.1464475139
133	0.1460457351
134	0.1456600061
135	0.1452677427
136	0.1447810524
137	0.1443859959
138	0.1438865518
139	0.1436305129
140	0.1432015542
141	0.1429268787
142	0.1426005358
143	0.1423572211
144	0.1420262428
145	0.141792729
146	0.1415055453
147	0.1412866359
148	0.1410113072
149	0.1405870564
150	0.1403779034
151	0.140113951
152	0.1397011153
153	0.139515374
154	0.1392283625
155	0.1388773925
156	0.1386481212
157	0.1384844987
158	0.1382352638
159	0.1380165351
160	0.1376583949
161	0.1374331842
162	0.137218115
163	0.1369034273
164	0.1366565339
165	0.1364507661
166	0.1361557378
167	0.1359594435
168	0.1357914702
169	0.1354950401
170	0.135234055
171	0.1350326553
172	0.134832414
173	0.1345399662
174	0.1343599238
175	0.1341853553
176	0.1339229185
177	0.1337181536
178	0.1336048392
179	0.1334770643
180	0.1333784076
181	0.1332540317
182	0.1331136538
183	0.1329613968
184	0.1327596966
185	0.132655575
186	0.1324335973
187	0.1322146701
188	0.1320371863
189	0.1319548878
190	0.1317939982
191	0.1317182888
192	0.1316282449
193	0.1315188093
194	0.1314354013
195	0.1313184587
196	0.1312442172
197	0.1311593206
198	0.1309935711
199	0.1309141834
200	0.1307621267
201	0.1306338233
