iter	Logloss
0	0.6572464437
1	0.6279681885
2	0.6025985148
3	0.5808604215
4	0.5618281747
5	0.5455847129
6	0.5320747084
7	0.5203762279
8	0.5101999094
9	0.5009245834
10	0.4938323174
11	0.4874784666
12	0.4816362336
13	0.4761649026
14	0.4713494918
15	0.4675710589
16	0.4639421411
17	0.4610030508
18	0.4579797194
19	0.4555788766
20	0.4529474003
21	0.4507435601
22	0.4487990418
23	0.446923476
24	0.4453898865
25	0.4437405715
26	0.4420553574
27	0.4406995067
28	0.4394661044
29	0.438249008
30	0.4371264687
31	0.4359927397
32	0.4351129514
33	0.4342408853
34	0.4332941861
35	0.4325376716
36	0.4318028631
37	0.4311422071
38	0.4305674202
39	0.4300169319
40	0.4293589601
41	0.4286982941
42	0.4281876587
43	0.4277534415
44	0.4273227457
45	0.4268122564
46	0.4263754349
47	0.4259910334
48	0.4253419381
49	0.4248938678
50	0.4245025567
51	0.4241592311
52	0.4237514748
53	0.4233595602
54	0.4229498072
55	0.4223624363
56	0.4219698468
57	0.4216734888
58	0.4213837287
59	0.4210863351
60	0.4207204018
61	0.4202882937
62	0.4199548264
63	0.4195596954
64	0.419270392
65	0.4189706637
66	0.4186817601
67	0.4183273045
68	0.4180095046
69	0.4176719034
70	0.4174340864
71	0.4171314956
72	0.4168690111
73	0.4164800039
74	0.4161010167
75	0.4159258063
76	0.4157590611
77	0.4155612955
78	0.415339196
79	0.4151039521
80	0.4149695683
81	0.4147666487
82	0.4144261296
83	0.4141968573
84	0.4139387091
85	0.4137323377
86	0.4134594588
87	0.4131273544
88	0.4128778114
89	0.4126470909
90	0.4122292235
91	0.4119455949
92	0.4117942405
93	0.4115413025
94	0.4113604735
95	0.4110952457
96	0.4108582243
97	0.4106419703
98	0.4104286006
99	0.4100931216
100	0.409889879
101	0.409661383
102	0.4095326921
103	0.4093119827
104	0.4090734182
105	0.4088804188
106	0.4085971653
107	0.408445052
108	0.4082025453
109	0.4080228455
110	0.4078814723
111	0.4076723997
112	0.4074911328
113	0.407231066
114	0.4070294483
115	0.4067777406
116	0.4065188772
117	0.4062796295
118	0.406092805
119	0.4059435618
120	0.4057658199
121	0.4055763388
122	0.4054099834
123	0.4051895316
124	0.4050315192
125	0.4048385402
126	0.4046159022
127	0.404490272
128	0.4042869279
129	0.4040524595
130	0.4039802614
131	0.4038839995
132	0.4036981625
133	0.403550189
134	0.403492769
135	0.4033183719
136	0.4031624492
137	0.4030607123
138	0.402915176
139	0.4027733168
140	0.4025605243
141	0.402415731
142	0.4022768511
143	0.4021771344
144	0.4021189292
145	0.4019702661
146	0.4017949388
147	0.4016477843
148	0.4014557047
149	0.401357201
150	0.4012504536
151	0.4010998659
152	0.4009116219
153	0.4007228179
154	0.4005222709
155	0.4003210124
156	0.4001806628
157	0.4001226569
158	0.3998586816
159	0.399681034
160	0.399534997
161	0.3994047318
162	0.399204453
163	0.3989946729
164	0.3988408561
165	0.3986930243
166	0.3985672225
167	0.3984440424
168	0.3982844984
169	0.3981274981
170	0.3980336588
171	0.3979114093
172	0.3977356705
173	0.3976703435
174	0.3975183344
175	0.3973977749
176	0.3972945433
177	0.3971512289
178	0.3970401197
179	0.3969676083
180	0.396835178
181	0.396684032
182	0.3965606672
183	0.3964103877
184	0.3963158164
185	0.3962510416
186	0.3961025668
187	0.3959287695
188	0.3958403462
189	0.3956800683
190	0.3955841166
191	0.3955162592
192	0.3953603348
193	0.3951786496
194	0.3950610027
195	0.3949024677
196	0.3946794996
197	0.3946034245
198	0.3944922111
199	0.3943678662
200	0.3942774045
201	0.3941704572
202	0.3940952228
203	0.3939993201
204	0.3939040473
205	0.393830129
206	0.3937350424
207	0.3936324132
208	0.3935003427
209	0.3933164445
210	0.3932160693
211	0.393044759
212	0.3929605983
213	0.3928507825
214	0.3926838674
215	0.392591918
216	0.3925345433
217	0.3924407478
218	0.3923067969
219	0.3922684279
220	0.3921744035
221	0.3920718759
222	0.3919963183
223	0.3918998968
224	0.3917758829
225	0.3916934087
226	0.3915533063
227	0.391435505
228	0.3914255632
229	0.3912925915
230	0.3911739035
231	0.3911083892
232	0.3909868971
233	0.3908825833
234	0.390774906
235	0.3907111816
236	0.3906501142
237	0.390545036
238	0.3904561325
239	0.3904359681
240	0.3903341873
241	0.3902198342
242	0.3901506901
243	0.3901500412
244	0.3899819162
245	0.3899147549
246	0.389906908
247	0.3898390604
248	0.3897366917
249	0.3896159305
250	0.3895127965
251	0.3894106139
252	0.3893062756
253	0.3891299991
254	0.3890677447
255	0.3889370577
256	0.3888465622
257	0.3888406452
258	0.3887674336
259	0.388666392
260	0.3885582401
261	0.3884410756
262	0.3884400741
263	0.3883958066
264	0.3882962047
265	0.3882010285
266	0.3881197448
267	0.3880712155
268	0.3880154155
269	0.3879389728
270	0.3878555316
271	0.3877771425
272	0.3876527708
273	0.3876516963
274	0.3875839292
275	0.3875075804
276	0.3874148379
277	0.3873325049
278	0.3873175349
279	0.3872066443
280	0.3871087353
281	0.3869773262
282	0.3869763698
283	0.3869046127
284	0.386815665
285	0.3868146267
286	0.3867702537
287	0.3866594742
288	0.3865918482
289	0.3864772597
290	0.386380788
291	0.3863012574
292	0.3862315795
293	0.3861700138
294	0.3861124452
295	0.3860603923
296	0.3860456542
297	0.3859767631
298	0.3858937256
299	0.3858061146
300	0.3857231692
301	0.38572255
302	0.3856527631
303	0.3855742365
304	0.3855625808
305	0.385480245
306	0.3854222261
307	0.3854212672
308	0.3853373622
309	0.3852221051
310	0.3851365051
311	0.38506521
312	0.3849342195
313	0.3848435846
314	0.3847795183
315	0.384701033
316	0.3846163466
317	0.3845169364
318	0.3845102524
319	0.3843874727
320	0.3842825824
321	0.3842213471
322	0.3841907564
323	0.384110316
324	0.3841094134
325	0.3839681877
326	0.3838647852
327	0.3837662084
328	0.3837650825
329	0.383760914
330	0.3836392849
331	0.3836312303
332	0.3835252205
333	0.383460309
334	0.3833889859
335	0.3833883135
336	0.3833370396
337	0.3832457024
338	0.3832343138
339	0.3831448693
340	0.3830670516
341	0.3829938572
342	0.3829314905
343	0.3828657975
344	0.3828576946
345	0.3828003424
346	0.382682034
347	0.3826753548
348	0.3826745059
349	0.382632405
350	0.3826312905
351	0.3826247471
352	0.3825467563
353	0.3824449259
354	0.3824406395
355	0.3823892371
356	0.3822859959
357	0.3822859637
358	0.382227471
359	0.3821431116
360	0.3821425613
361	0.3820742736
362	0.3820086756
363	0.3819543976
364	0.3818816783
365	0.3817983644
366	0.3817177151
367	0.3816583109
368	0.3815754296
369	0.3815304415
370	0.381468125
371	0.38140087
372	0.3813019421
373	0.3811884645
374	0.381107003
375	0.3810580939
376	0.3810075296
377	0.3809936391
378	0.3808772633
379	0.380870069
380	0.3807997009
381	0.3807378799
382	0.3807317714
383	0.3806967813
384	0.3805951108
385	0.3805700973
386	0.3804960141
387	0.3804952138
388	0.3804224719
389	0.3803429027
390	0.3802388527
391	0.3801896378
392	0.3800951636
393	0.380039924
394	0.3799580492
395	0.3798712801
396	0.3798185623
397	0.3797457369
398	0.3796646436
399	0.3796024626
400	0.3796016393
401	0.379559486
402	0.3794845403
403	0.3793982866
404	0.3793222179
405	0.3793217519
406	0.3792469603
407	0.3791382819
408	0.3790764833
409	0.3789880335
410	0.3789489179
411	0.3788920914
412	0.3788234395
413	0.3787811624
414	0.3787263588
415	0.3786582502
416	0.3786116118
417	0.3786107839
418	0.3786099277
419	0.3786093466
420	0.3785436415
421	0.3784894031
422	0.3784049068
423	0.3783315587
424	0.3783179088
425	0.3783068701
426	0.3782477038
427	0.378188514
428	0.3781861516
429	0.3781856239
430	0.3781822726
431	0.3781799716
432	0.3781124662
433	0.3780562075
434	0.3779911104
435	0.3779906565
436	0.3779383889
437	0.3778636823
438	0.3778036563
439	0.3778035325
440	0.3778032315
441	0.3777446299
442	0.3776159101
443	0.3776153403
444	0.377609151
445	0.3775555251
446	0.377516343
447	0.3774702682
448	0.3774632151
449	0.3774584822
450	0.3773971764
451	0.3773597157
452	0.3773113634
453	0.3772336548
454	0.3771841529
455	0.3770363468
456	0.3769962169
457	0.3769854268
458	0.376926405
459	0.3769255664
460	0.3768517788
461	0.3767572578
462	0.376757227
463	0.3767564749
464	0.3766949305
465	0.3766941871
466	0.3765751694
467	0.3765014355
468	0.3764396057
469	0.3764081669
470	0.3764060893
471	0.3763564165
472	0.3763163396
473	0.3762637083
474	0.376124156
475	0.3760776765
476	0.3760166407
477	0.3759407229
478	0.3758803468
479	0.3758359138
480	0.3758307752
481	0.375787468
482	0.375724949
483	0.3756419127
484	0.3755741007
485	0.3755697847
486	0.3755152153
487	0.3754643611
488	0.3754199942
489	0.375368755
490	0.3753068563
491	0.3752613016
492	0.3751916645
493	0.3751503734
494	0.3750581859
495	0.3750053069
496	0.374958811
497	0.3749581095
498	0.3749574786
499	0.3749094016
500	0.3749054659
501	0.3749031712
502	0.374829795
503	0.3748282838
504	0.3747266724
505	0.3746658335
506	0.3746651856
507	0.3746396501
508	0.3745636366
509	0.3745355548
510	0.3745035358
511	0.3744576841
512	0.3743748319
513	0.3742872157
514	0.3742850652
515	0.3742236547
516	0.3741316004
517	0.3740611953
518	0.3740605343
519	0.374043321
520	0.3739825915
521	0.37398173
522	0.37398129
523	0.3739812137
524	0.3739522787
525	0.3739059252
526	0.3738993338
527	0.3738985639
528	0.373874716
529	0.3738741034
530	0.3738297689
531	0.3737708294
532	0.3737391409
533	0.3736930949
534	0.3736512107
535	0.3736095748
536	0.3735333354
537	0.3734713085
538	0.3734025694
539	0.3733349207
540	0.373283588
541	0.373199897
542	0.3731413855
543	0.3730784801
544	0.3730254571
545	0.3729860067
546	0.3729131983
547	0.372853126
