iter	Logloss
0	0.6644894621
1	0.6378064429
2	0.6122817314
3	0.5870721912
4	0.5645711483
5	0.5432263457
6	0.5202753822
7	0.5009161514
8	0.4807239219
9	0.463267925
10	0.4463641084
11	0.4299686137
12	0.4141026076
13	0.3979131806
14	0.3819632771
15	0.3670904887
16	0.3542452887
17	0.3405315813
18	0.3273433706
19	0.3150645565
20	0.3028381911
21	0.291754246
22	0.2815441709
23	0.2712192487
24	0.26171155
25	0.2519396211
26	0.2436913059
27	0.2355382995
28	0.2275301039
29	0.2194447722
30	0.2125008225
31	0.2058397806
32	0.1988179714
33	0.1924720452
34	0.1863088342
35	0.1808149832
36	0.1755878202
37	0.1702985036
38	0.1654298779
39	0.1606336895
40	0.1564163016
41	0.1521651291
42	0.1477721341
43	0.1440552086
44	0.139980722
45	0.136413157
46	0.132913603
47	0.1295206469
48	0.1264233221
49	0.1232010629
50	0.1202489483
51	0.1174603592
52	0.1147323015
53	0.1120580664
54	0.1096578606
55	0.1072603506
56	0.1049211873
57	0.1027952097
58	0.100637637
59	0.09861577795
60	0.09673455891
61	0.09486609914
62	0.09317500071
63	0.09155592723
64	0.08990256808
65	0.08830169649
66	0.08680361245
67	0.08538968495
68	0.08406517408
69	0.08264326711
70	0.08138214903
71	0.08017107425
72	0.07897598917
73	0.07787164838
74	0.07679883081
75	0.07572808845
76	0.07465461325
77	0.07370853586
78	0.07272392435
79	0.07182818017
80	0.07092301946
81	0.07007160742
82	0.06918697608
83	0.06840554863
84	0.06760579862
85	0.06685218748
86	0.06610313699
87	0.06538733864
88	0.06472815615
89	0.06405504988
90	0.06340870975
91	0.0628349959
92	0.0623011909
93	0.06177498996
94	0.06121772212
95	0.06072743435
96	0.06019375961
97	0.05971619955
98	0.05927205973
99	0.05880373852
100	0.05836737391
101	0.05792309643
102	0.05745285742
103	0.05703987743
104	0.05663545642
105	0.0562596739
106	0.05587259986
107	0.05549842327
108	0.05511301833
109	0.05479899102
110	0.05446025564
111	0.05410292297
112	0.05377749156
113	0.05342978088
114	0.05310569969
115	0.05279479636
116	0.0525333061
117	0.05223144113
118	0.0519694415
119	0.05172451543
120	0.05143889783
121	0.05113355835
122	0.05085772661
123	0.05059818926
124	0.05040372702
125	0.05011463118
126	0.04991789001
127	0.04972723668
128	0.04951835467
129	0.04934835659
130	0.04911991549
131	0.04890054895
132	0.04870114741
133	0.04850390437
134	0.04829964839
135	0.0481002034
136	0.0479250999
137	0.04773952216
138	0.04757631017
139	0.04741159701
140	0.04728098243
141	0.0471161108
142	0.04692253017
143	0.04673599228
144	0.04658620785
145	0.04644386614
146	0.04630799088
147	0.04616211236
148	0.04602321179
149	0.04591790038
150	0.04582301064
151	0.04569064015
152	0.04554908481
153	0.04545330216
154	0.04531294363
155	0.04519008417
156	0.045051064
157	0.04491549194
158	0.04478945637
159	0.04467764186
160	0.0445574837
161	0.04442671456
162	0.04435277464
163	0.04423687586
164	0.04414242098
165	0.04403567477
166	0.04396613877
167	0.04386447149
168	0.04379035034
169	0.04370730802
170	0.04364766192
171	0.04358969964
172	0.04352952421
173	0.04347292116
174	0.04336063299
175	0.04326070599
176	0.04316683579
177	0.0431073919
178	0.04305161546
179	0.04299969698
180	0.04292113438
181	0.04286410453
182	0.04278686214
183	0.04270692982
