iter	Passed	Remaining
0	21	21878
1	42	21136
2	63	21174
3	85	21319
4	108	21575
5	129	21457
6	151	21423
7	174	21624
8	196	21639
9	219	21702
10	240	21657
11	260	21472
12	282	21427
13	303	21381
14	327	21527
15	349	21494
16	371	21469
17	394	21546
18	423	21864
19	452	22162
20	478	22307
21	499	22220
22	521	22141
23	545	22191
24	569	22194
25	595	22290
26	620	22374
27	655	22764
28	680	22780
29	705	22802
30	736	23019
31	759	22978
32	784	22990
33	814	23138
34	845	23308
35	869	23285
36	893	23244
37	922	23355
38	944	23274
39	975	23422
40	1002	23441
41	1024	23372
42	1050	23374
43	1072	23308
44	1096	23260
45	1119	23220
46	1144	23211
47	1169	23198
48	1196	23217
49	1223	23251
50	1249	23242
51	1270	23163
52	1291	23082
53	1320	23140
54	1342	23067
55	1370	23094
56	1393	23057
57	1416	23005
58	1437	22922
59	1458	22856
60	1482	22822
61	1508	22817
62	1530	22762
63	1558	22799
64	1579	22714
65	1602	22682
66	1623	22613
67	1644	22532
68	1664	22453
69	1687	22414
70	1709	22373
71	1734	22356
72	1756	22301
73	1777	22239
74	1805	22272
75	1826	22210
76	1847	22147
77	1868	22083
78	1889	22030
79	1910	21975
80	1932	21924
81	1956	21904
82	1979	21871
83	2001	21826
84	2025	21807
85	2052	21817
86	2075	21782
87	2100	21763
88	2123	21731
89	2142	21660
90	2163	21610
91	2186	21580
92	2208	21536
93	2230	21494
94	2253	21465
95	2274	21414
96	2293	21353
97	2314	21301
98	2335	21256
99	2357	21216
100	2380	21188
101	2406	21185
102	2431	21174
103	2459	21188
104	2481	21155
105	2504	21120
106	2531	21124
107	2556	21116
108	2577	21070
109	2603	21062
110	2625	21030
111	2647	20987
112	2668	20944
113	2689	20902
114	2714	20887
115	2736	20855
116	2762	20849
117	2786	20827
118	2807	20784
119	2828	20745
120	2850	20706
121	2871	20663
122	2892	20623
123	2912	20572
124	2934	20544
125	2957	20515
126	2983	20507
127	3010	20507
128	3032	20472
129	3053	20433
130	3074	20393
131	3095	20354
132	3116	20313
133	3138	20280
134	3158	20239
135	3180	20205
136	3203	20177
137	3224	20141
138	3244	20099
139	3265	20060
140	3285	20014
141	3306	19980
142	3334	19981
143	3362	19985
144	3386	19966
145	3410	19946
146	3433	19922
147	3457	19902
148	3480	19878
149	3501	19840
150	3524	19816
151	3547	19789
152	3568	19753
153	3590	19722
154	3615	19707
155	3638	19685
156	3662	19666
157	3686	19643
158	3714	19646
159	3735	19608
160	3758	19586
161	3780	19557
162	3801	19519
163	3823	19490
164	3843	19452
165	3865	19420
166	3886	19386
167	3908	19355
168	3937	19360
169	3960	19337
170	3983	19309
171	4007	19292
172	4028	19256
173	4051	19230
174	4073	19203
175	4101	19200
176	4127	19191
177	4148	19157
178	4170	19126
179	4196	19116
180	4217	19084
181	4237	19046
182	4259	19017
183	4282	18993
184	4307	18975
185	4328	18941
186	4348	18906
187	4371	18882
188	4394	18858
189	4425	18868
190	4452	18857
191	4477	18842
192	4498	18810
193	4521	18786
194	4546	18767
195	4574	18763
196	4597	18739
197	4621	18720
198	4647	18707
199	4670	18680
200	4694	18660
201	4718	18639
202	4745	18630
203	4769	18610
204	4793	18590
205	4818	18573
206	4852	18590
207	4880	18584
208	4903	18559
209	4928	18538
210	4952	18518
211	4980	18511
212	5006	18499
213	5034	18489
214	5059	18472
215	5084	18454
216	5108	18431
217	5132	18411
218	5155	18383
219	5177	18356
220	5200	18329
221	5224	18309
222	5247	18282
223	5267	18248
224	5290	18221
225	5310	18187
226	5331	18154
227	5354	18129
228	5378	18109
229	5400	18080
230	5422	18050
231	5445	18026
232	5465	17990
233	5488	17967
234	5510	17939
235	5531	17907
236	5552	17876
237	5574	17846
238	5596	17818
239	5617	17787
240	5637	17754
241	5659	17728
242	5681	17699
243	5704	17673
244	5727	17648
